date_added,headquarters,sector,security,symbol
1957-03-04,"Saint Paul, Minnesota",Industrials,3M,MMM
2017-07-26,"Milwaukee, Wisconsin",Industrials,A. O. Smith,AOS
1957-03-04,"North Chicago, Illinois",Health Care,Abbott,ABT
2012-12-31,"North Chicago, Illinois",Health Care,AbbVie,ABBV
2011-07-06,"Dublin, Ireland",Information Technology,Accenture,ACN
1997-05-05,"San Jose, California",Information Technology,Adobe Inc.,ADBE
2017-03-20,"Santa Clara, California",Information Technology,Advanced Micro Devices,AMD
1998-10-02,"Arlington, Virginia",Utilities,AES Corporation,AES
1999-05-28,"Columbus, Georgia",Financials,Aflac,AFL
2000-06-05,"Santa Clara, California",Health Care,Agilent Technologies,A
1985-04-30,"Allentown, Pennsylvania",Materials,Air Products and Chemicals,APD
2023-09-18,"San Francisco, California",Consumer Discretionary,Airbnb,ABNB
2007-07-12,"Cambridge, Massachusetts",Information Technology,Akamai,AKAM
2016-07-01,"Charlotte, North Carolina",Materials,Albemarle Corporation,ALB
2017-03-20,"Pasadena, California",Real Estate,Alexandria Real Estate Equities,ARE
2017-06-19,"Tempe, Arizona",Health Care,Align Technology,ALGN
2013-12-02,"Dublin, Ireland",Industrials,Allegion,ALLE
2016-07-01,"Madison, Wisconsin",Utilities,Alliant Energy,LNT
1995-07-13,"Northbrook, Illinois",Financials,Allstate,ALL
2014-04-03,"Mountain View, California",Communication Services,Alphabet Inc.,GOOGL
2006-04-03,"Mountain View, California",Communication Services,Alphabet Inc.,GOOG
1957-03-04,"Richmond, Virginia",Consumer Staples,Altria,MO
2005-11-18,"Seattle, Washington",Consumer Discretionary,Amazon,AMZN
2019-06-07,Warmley,Materials,Amcor,AMCR
1991-09-19,"St. Louis, Missouri",Utilities,Ameren,AEE
2015-03-23,"Fort Worth, Texas",Industrials,American Airlines Group,AAL
1957-03-04,"Columbus, Ohio",Utilities,American Electric Power,AEP
1976-06-30,"New York City, New York",Financials,American Express,AXP
1980-03-31,"New York City, New York",Financials,American International Group,AIG
2007-11-19,"Boston, Massachusetts",Real Estate,American Tower,AMT
2016-03-04,"Camden, New Jersey",Utilities,American Water Works,AWK
2005-10-03,"Minneapolis, Minnesota",Financials,Ameriprise Financial,AMP
2013-09-23,"Berwyn, Pennsylvania",Industrials,Ametek,AME
1992-01-02,"Thousand Oaks, California",Health Care,Amgen,AMGN
2008-09-30,"Wallingford, Connecticut",Information Technology,Amphenol,APH
1999-10-12,"Wilmington, Massachusetts",Information Technology,Analog Devices,ADI
2017-06-19,"Canonsburg, Pennsylvania",Information Technology,Ansys,ANSS
1996-04-23,"London, UK",Financials,Aon,AON
1997-07-28,"Houston, Texas",Energy,APA Corporation,APA
1982-11-30,"Cupertino, California",Information Technology,Apple Inc.,AAPL
1995-03-16,"Santa Clara, California",Information Technology,Applied Materials,AMAT
2012-12-24,"Dublin, Ireland",Consumer Discretionary,Aptiv,APTV
2022-11-01,"Hamilton, Bermuda",Financials,Arch Capital Group,ACGL
1957-03-04,"Chicago, Illinois",Consumer Staples,Archer-Daniels-Midland,ADM
2018-08-28,"Santa Clara, California",Information Technology,Arista Networks,ANET
2016-05-31,"Rolling Meadows, Illinois",Financials,Arthur J. Gallagher & Co.,AJG
2007-04-10,"Atlanta, Georgia",Financials,Assurant,AIZ
1983-11-30,"Dallas, Texas",Communication Services,AT&T,T
2019-02-15,"Dallas, Texas",Utilities,Atmos Energy,ATO
1989-12-01,"San Francisco, California",Information Technology,Autodesk,ADSK
1981-03-31,"Roseland, New Jersey",Industrials,Automated Data Processing,ADP
1997-01-02,"Memphis, Tennessee",Consumer Discretionary,AutoZone,AZO
2007-01-10,"Arlington, Virginia",Real Estate,AvalonBay Communities,AVB
1987-12-31,"Mentor, Ohio",Materials,Avery Dennison,AVY
2023-05-04,"Scottsdale, Arizona",Industrials,Axon Enterprise,AXON
2017-07-07,"Houston, Texas",Energy,Baker Hughes,BKR
1984-10-31,"Broomfield, Colorado",Materials,Ball Corporation,BALL
1976-06-30,"Charlotte, North Carolina",Financials,Bank of America,BAC
1995-03-31,"New York City, New York",Financials,Bank of New York Mellon,BK
